evidence_file,row_number,status,source_files,field,transcribed_value,archived_value,field_status,method,note
arm_configuration_20260805.csv,2,verified,configs/semantic_calibration_v0.yaml,updates,0.0,0,match,Frozen probe has no calibration updates.,
arm_configuration_20260805.csv,3,verified,outputs/flair_b1_b0_seed19/run_config.json,updates,25220.0,25220,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,3,verified,outputs/flair_b1_b0_seed19/run_config.json,source_crops_per_update,2.0,2,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,3,verified,outputs/flair_b1_b0_seed19/run_config.json,loveda_crop_exposures_total,50440.0,50440,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,3,verified,outputs/flair_b1_b0_seed19/run_config.json,flair_crops_per_update,0,0,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,4,verified,outputs/flair_b1_b0_half_seed19/run_config.json,updates,25220.0,25220,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,4,verified,outputs/flair_b1_b0_half_seed19/run_config.json,source_crops_per_update,1.0,1,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,4,verified,outputs/flair_b1_b0_half_seed19/run_config.json,loveda_crop_exposures_total,25220.0,25220,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,4,verified,outputs/flair_b1_b0_half_seed19/run_config.json,flair_crops_per_update,0,0,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,5,verified,outputs/flair_b1_b0_half_batch2_seed19/run_config.json,updates,25220.0,25220,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,5,verified,outputs/flair_b1_b0_half_batch2_seed19/run_config.json,source_crops_per_update,1 deterministic crop duplicated,1 deterministic crop duplicated,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,5,verified,outputs/flair_b1_b0_half_batch2_seed19/run_config.json,loveda_crop_exposures_total,25220.0,25220,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,5,verified,outputs/flair_b1_b0_half_batch2_seed19/run_config.json,flair_crops_per_update,0,0,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,6,verified,outputs/flair_b1_b1_seed19/run_config.json,updates,25220.0,25220,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,6,verified,outputs/flair_b1_b1_seed19/run_config.json,source_crops_per_update,1.0,1,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,6,verified,outputs/flair_b1_b1_seed19/run_config.json,loveda_crop_exposures_total,25220.0,25220,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,6,verified,outputs/flair_b1_b1_seed19/run_config.json,flair_crops_per_update,1 raw-ID-10 FLAIR crop,1 raw-ID-10 FLAIR crop,match,Derived from archived run configuration and batch composition.,
arm_configuration_20260805.csv,7,verified,outputs/b2_openearthmap_e1_seed19/run_config.json,updates_as_epochs,20 epochs,20 epochs,match,Direct comparison to the archived B2 epoch count.,
arm_configuration_20260805.csv,8,verified,protocols/P1_COVERAGE_GUARD_IMPLEMENTATION_AMENDMENT_2026-08-02.md|outputs/e3_coverage_guard_openearthmap_smoke_v2/metrics.json,updates,not headline,not headline,match,Negative-control arm is protocol-defined and excluded from headline training comparisons.,
b2_direct_supervision_20260806.csv,2,verified,outputs/b2_openearthmap_e1_seed19/metrics.json|outputs/b2_openearthmap_e1_seed19/run_config.json,rangeland_iou,0.39344288999147853,0.39344288999147853,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,2,verified,outputs/b2_openearthmap_e1_seed19/metrics.json|outputs/b2_openearthmap_e1_seed19/run_config.json,mean_iou,0.5206919473039879,0.5206919473039879,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,2,verified,outputs/b2_openearthmap_e1_seed19/metrics.json|outputs/b2_openearthmap_e1_seed19/run_config.json,test_rasters,595.0,595,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,3,verified,outputs/b2_openearthmap_e1_seed37/metrics.json|outputs/b2_openearthmap_e1_seed37/run_config.json,rangeland_iou,0.3889750143400203,0.3889750143400203,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,3,verified,outputs/b2_openearthmap_e1_seed37/metrics.json|outputs/b2_openearthmap_e1_seed37/run_config.json,mean_iou,0.5290992539457616,0.5290992539457616,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,3,verified,outputs/b2_openearthmap_e1_seed37/metrics.json|outputs/b2_openearthmap_e1_seed37/run_config.json,test_rasters,595.0,595,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,4,verified,outputs/b2_openearthmap_e1_seed73/metrics.json|outputs/b2_openearthmap_e1_seed73/run_config.json,rangeland_iou,0.3776265417196102,0.3776265417196102,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,4,verified,outputs/b2_openearthmap_e1_seed73/metrics.json|outputs/b2_openearthmap_e1_seed73/run_config.json,mean_iou,0.5108109165513326,0.5108109165513326,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,4,verified,outputs/b2_openearthmap_e1_seed73/metrics.json|outputs/b2_openearthmap_e1_seed73/run_config.json,test_rasters,595.0,595,match,Direct fields from the archived B2 held-out metrics.,
b2_direct_supervision_20260806.csv,5,verified,outputs/b2_openearthmap_e1_seed19/metrics.json|outputs/b2_openearthmap_e1_seed37/metrics.json|outputs/b2_openearthmap_e1_seed73/metrics.json,rangeland_iou,0.38668148201703634,0.38668148201703634,match,Arithmetic mean recomputed from the three archived held-out metrics files.,
b2_direct_supervision_20260806.csv,5,verified,outputs/b2_openearthmap_e1_seed19/metrics.json|outputs/b2_openearthmap_e1_seed37/metrics.json|outputs/b2_openearthmap_e1_seed73/metrics.json,mean_iou,0.520200705933694,0.520200705933694,match,Arithmetic mean recomputed from the three archived held-out metrics files.,
b2_direct_supervision_bootstrap_20260806.csv,2,verified,outputs/b2_openearthmap_bootstrap_summary.json,estimate,0.376292,0.3762923871524247,match,Direct fields from the archived B2 city-bootstrap summary.,
b2_direct_supervision_bootstrap_20260806.csv,2,verified,outputs/b2_openearthmap_bootstrap_summary.json,ci_lower,0.343018,0.34301780110221114,match,Direct fields from the archived B2 city-bootstrap summary.,
b2_direct_supervision_bootstrap_20260806.csv,2,verified,outputs/b2_openearthmap_bootstrap_summary.json,ci_upper,0.40302,0.403020181178671,match,Direct fields from the archived B2 city-bootstrap summary.,
oem_contrasts_20260805.csv,2,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,0.311761,0.3117611460992006,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,2,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_lower,0.282103,0.28210301012274785,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,2,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_upper,0.339855,0.339854602496308,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,3,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,-0.042163,-0.0421625855533333,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,4,verified,outputs/flair_supported_leaf_bootstrap_summary.json,estimate,-0.10115,-0.10114987416208893,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,4,verified,outputs/flair_supported_leaf_bootstrap_summary.json,ci_lower,-0.121276,-0.12127595031339952,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,4,verified,outputs/flair_supported_leaf_bootstrap_summary.json,ci_upper,-0.082108,-0.08210833882923758,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,5,verified,outputs/flair_b0_half_oem_no_paris_bootstrap_summary.json,estimate,-0.006941,-0.006940505586884416,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,5,verified,outputs/flair_b0_half_oem_no_paris_bootstrap_summary.json,ci_lower,-0.010008,-0.010007643985387057,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,5,verified,outputs/flair_b0_half_oem_no_paris_bootstrap_summary.json,ci_upper,-0.003804,-0.003804389889808211,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,6,verified,outputs/flair_b0_half_oem_no_paris_bootstrap_summary.json,estimate,-0.035222,-0.03522207996644888,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,6,verified,outputs/flair_b0_half_oem_no_paris_bootstrap_summary.json,ci_lower,-0.053812,-0.05381182553419996,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,6,verified,outputs/flair_b0_half_oem_no_paris_bootstrap_summary.json,ci_upper,-0.018212,-0.01821186960393061,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,7,verified,outputs/flair_batch_control_summary.json,estimate,0.0,0.0,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,7,verified,outputs/flair_batch_control_summary.json,ci_lower,0.0,0.0,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,7,verified,outputs/flair_batch_control_summary.json,ci_upper,0.0,0.0,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,8,verified,outputs/flair_batch_control_summary.json,estimate,0.311761,0.31176119962271587,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,8,verified,outputs/flair_batch_control_summary.json,ci_lower,0.281944,0.28194377089895967,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_contrasts_20260805.csv,8,verified,outputs/flair_batch_control_summary.json,ci_upper,0.339921,0.33992114061045225,match,Direct field(s) from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,2,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,-0.019576,-0.019575980695054063,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,2,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_lower,-0.048814,-0.048813924348977036,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,2,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_upper,0.005547,0.005546887849560857,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,3,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,-0.148178,-0.1481780735796438,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,3,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_lower,-0.184531,-0.18453051499003667,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,3,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_upper,-0.113413,-0.11341255262055601,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,4,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,-0.155402,-0.1554021166828285,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,4,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_lower,-0.188001,-0.18800124091461334,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,4,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_upper,-0.122461,-0.12246129225485396,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,5,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,0.311761,0.3117611460992006,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,5,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_lower,0.282103,0.28210301012274785,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,5,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_upper,0.339855,0.339854602496308,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,6,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,-0.200454,-0.20045416460940502,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,6,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_lower,-0.249718,-0.24971755699047773,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,6,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_upper,-0.149754,-0.1497539677785969,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,7,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,-0.0508,-0.050799561380310956,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,7,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_lower,-0.109416,-0.10941645140105828,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,7,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_upper,-0.001025,-0.0010251843335219424,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,8,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,estimate,-0.032489,-0.032489348025291354,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,8,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_lower,-0.070992,-0.070991826017759,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,8,verified,outputs/flair_b1_oem_no_paris_bootstrap_summary.json,ci_upper,0.00676,0.0067598221414832006,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
oem_leaf_contrasts_20260805.csv,9,verified,outputs/flair_b0_half_oem_no_paris_bootstrap_summary.json,estimate,-0.009911,-0.009911018436649877,match,Direct per-leaf fields from the archived paired-bootstrap summary.,
